Symbol,Name,Market Cap,In S&P 500,Qtr - Next,Is Projected - Next,Is Announced - Next,Date - Next,Time - Next,Conf Call - Next,Expected Move - Next,Actual Move - Prev,Expected Move - Prev,Qtr - Prev,Date - Prev,Time - Prev,Conf Call - Prev,SEC Filing,Stock Type,Has Options
AEGN,Aegion - Class A,430327712,False,Q1,False,True,4/29/2020,AMC,4/30/2020 9:30:00 AM,0.1489,-0.0664,0.1053,Q4,2/26/2020,AMC,2/27/2020 9:30:00 AM,,Common,True
AEM,Agnico Eagle Mines,14282286080,False,Q1,False,True,4/30/2020,AMC,5/1/2020 8:30:00 AM,0.1259,-0.1563,0.0482,Q4,2/13/2020,AMC,2/14/2020 11:00:00 AM,,Common,True
AFL,Aflac Incorporated,25685264384,True,Q1,False,True,4/29/2020,AMC,4/30/2020 9:00:00 AM,0.0799,0.0213,0.0237,Q4,2/4/2020,AMC,2/5/2020 9:00:00 AM,https://www.sec.gov/Archives/edgar/data/4977/000000497720000006/0000004977-20-000006-index.htm,Common,True
AFMD,Affimed N.V.,173037344,False,Q4,False,True,4/28/2020,BMO,4/28/2020 8:30:00 AM,0.2998,-0.037,0.179,Q3,11/19/2019,BMO,11/19/2019 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/1608390/000119312519295163/0001193125-19-295163-index.htm,Common,True
AGBA,Agba Acquisition Limited - Ordinary Share,60885248,False,,True,False,4/23/2020,,,,0,,,11/14/2019,,,,Common,False
AGI,Alamos Gold Inc. Class A Common Shares,3059590656,False,Q1,False,True,4/29/2020,AMC,4/30/2020 11:00:00 AM,0.2148,0.0398,0.0326,Q4,2/19/2020,AMC,2/20/2020 11:00:00 AM,,Common,True
AGIO,Agios Pharmaceuticals Inc.,3185300992,False,Q1,False,True,4/30/2020,BMO,4/30/2020 8:00:00 AM,0.1547,0.0535,0.0771,Q4,2/13/2020,BMO,2/13/2020 8:00:00 AM,https://www.sec.gov/Archives/edgar/data/1439222/000119312520034263/0001193125-20-034263-index.htm,Common,True
AGNC,Agnc Investment Corp.,6908908544,False,Q1,False,True,4/29/2020,AMC,4/30/2020 8:30:00 AM,0.0969,-0.0054,0.0189,Q4,1/29/2020,AMC,1/30/2020 8:30:00 AM,,REIT,True
AGR,Avangrid Inc.,13939215360,False,Q1,False,True,4/28/2020,AMC,4/29/2020 10:00:00 AM,0.1429,-0.079,0.0587,Q4,2/25/2020,AMC,2/26/2020 10:00:00 AM,,Common,True
AHH,Armada Hoffler Properties Inc.,640775360,False,Q1,False,True,4/30/2020,BMO,4/30/2020 8:30:00 AM,0.166,0.0054,0.0269,Q4,2/6/2020,BMO,2/6/2020 8:30:00 AM,,REIT,True
AIH,Aesthetic Medical Intl,213460608,False,Q4,False,True,4/24/2020,BMO,4/24/2020 8:00:00 AM,,0.0256,,Q3,11/26/2019,BMO,11/26/2019 8:00:00 AM,,Common,False
AIMC,Altra Industrial Motion Corp.,1180806656,False,Q1,False,True,4/30/2020,BMO,4/30/2020 10:00:00 AM,0.2161,0.0637,0.0649,Q4,2/13/2020,BMO,2/13/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/1374535/000156459020004479/0001564590-20-004479-index.htm,Common,True
AIN,Albany International,1539126016,False,Q1,False,True,4/29/2020,AMC,4/30/2020 9:00:00 AM,0.1578,0.0208,0.0559,Q4,2/10/2020,AMC,2/11/2020 9:00:00 AM,https://www.sec.gov/Archives/edgar/data/819793/000115752320000176/0001157523-20-000176-index.htm,Common,True
AIRI,Air Industries Group,36943720,False,,True,False,4/21/2020,,,,0.0177,,,11/7/2019,,,,Common,False
AIT,Applied Industrial Technologies Inc.,1752914176,False,Q3,False,True,4/30/2020,BMO,4/30/2020 10:00:00 AM,0.1318,-0.0068,0.0768,Q2,1/23/2020,BMO,1/23/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/109563/000010956320000022/0000109563-20-000022-index.htm,Common,True
AJG,Arthur J. Gallagher & Co.,14717373440,True,Q1,False,True,4/30/2020,AMC,4/30/2020 5:15:00 PM,0.1023,0.0237,0.0328,Q4,1/30/2020,AMC,1/30/2020 5:15:00 PM,,Common,True
AJRD,Aerojet Rocketdyne Hldgs,3211574272,False,,True,False,4/30/2020,,,,0.0233,0.0486,Q4,2/19/2020,AMC,,,Common,True
AKAM,Akamai Technologies Inc.,16904315904,True,Q1,False,True,4/28/2020,AMC,4/28/2020 4:30:00 PM,0.0871,0.0112,0.0578,Q4,2/11/2020,AMC,2/11/2020 4:30:00 PM,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000025/0001086222-20-000025-index.htm,Common,True
AKER,Akers Biosciences Inc.,16643935,False,,True,False,4/3/2020,,,,0,,,11/14/2019,,,,Common,False
AKO.A,Embotelladora Andina S.A.,1735382016,False,,True,False,4/27/2020,,,,0.0361,,,2/25/2020,BMO,,,Common,False
AKO.B,Embotelladora Andina S.A.,1937317376,False,,True,False,4/27/2020,,,,-0.0253,,,2/25/2020,BMO,,,Common,False
ALEX,Alexander & Baldwin Inc. Common REIT Holding Company,759941312,False,Q1,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,0.1228,-0.074,0.0531,Q4,2/26/2020,AMC,2/26/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1545654/000154565420000004/0001545654-20-000004-index.htm,REIT,True
ALGN,Align Technology Inc.,15168926720,True,Q1,False,True,4/29/2020,AMC,4/29/2020 4:30:00 PM,0.1459,0.0049,0.1055,Q4,1/29/2020,AMC,1/29/2020 4:30:00 PM,https://www.sec.gov/Archives/edgar/data/1097149/000117184320000574/0001171843-20-000574-index.htm,Common,True
ALGT,Allegiant Travel Company,1178668800,False,,True,False,4/24/2020,,,,0.0403,0.08,Q4,1/29/2020,AMC,1/29/2020 4:30:00 PM,,Common,True
ALKS,Alkermes PLC -,2616537856,False,Q1,False,True,4/29/2020,BMO,4/29/2020 8:00:00 AM,0.1507,-0.0759,0.0788,Q4,2/13/2020,BMO,2/13/2020 8:00:00 AM,https://www.sec.gov/Archives/edgar/data/1520262/000156459020004474/0001564590-20-004474-index.htm,Common,True
ALRS,Alerus Financial,276770240,False,Q1,False,True,4/28/2020,AMC,4/29/2020 10:00:00 AM,,0.0033,,Q4,1/28/2020,AMC,1/29/2020 10:00:00 AM,,Common,False
ALV,Autoliv Inc.,4778777600,False,Q1,False,True,4/24/2020,BMO,4/24/2020 8:00:00 AM,0.0904,0.0535,0.0843,Q4,1/28/2020,BMO,,,Common,True
ALX,Alexander's Inc.,1428509056,False,,True,False,4/30/2020,,,,-0.01,,Q4,2/18/2020,BMO,2/19/2020 10:00:00 AM,,REIT,False
AM,Antero Midstream,2352653056,False,Q1,False,True,4/29/2020,AMC,4/30/2020 12:00:00 PM,0.2884,-0.0336,0.0773,Q4,2/12/2020,AMC,2/13/2020 12:00:00 PM,,MLP,True
AMAL,Amalgamated Bank - Class A,291685248,False,Q1,False,True,4/30/2020,BMO,4/30/2020 10:00:00 AM,,-0.0075,,Q4,1/31/2020,BMO,1/31/2020 10:00:00 AM,,Common,False
AMD,Advanced Micro Devices Inc.,66682314752,True,Q1,False,True,4/28/2020,AMC,4/28/2020 5:30:00 PM,0.1182,-0.0598,0.089,Q4,1/28/2020,AMC,1/28/2020 5:30:00 PM,,Common,True
AMG,Affiliated Managers Group Inc.,2959666176,False,Q1,False,True,4/27/2020,BMO,4/27/2020 8:30:00 AM,0.1205,0.005,0.0763,Q4,2/3/2020,BMO,2/3/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/1004434/000100443420000004/0001004434-20-000004-index.htm,Common,True
AMGN,Amgen Inc.,136120033280,True,,True,False,4/28/2020,,,,-0.0447,0.0266,Q4,1/30/2020,AMC,1/30/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/318154/000031815420000012/0000318154-20-000012-index.htm,Common,True
AMKR,Amkor Technology Inc.,2218570752,False,Q1,False,True,4/27/2020,AMC,4/27/2020 5:00:00 PM,0.1695,0.1463,0.1311,Q4,2/10/2020,AMC,2/10/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1047127/000104712720000003/0001047127-20-000003-index.htm,Common,True
AMSF,Amerisafe Inc.,1180354048,False,Q1,False,True,4/29/2020,AMC,4/30/2020 10:30:00 AM,0.0962,0.0774,0.0399,Q4,2/19/2020,AMC,2/20/2020 10:30:00 AM,https://www.sec.gov/Archives/edgar/data/1018979/000119312520042004/0001193125-20-042004-index.htm,Common,True
AMT,American Tower (Reit),112007110656,True,Q1,False,True,4/29/2020,BMO,4/29/2020 8:30:00 AM,0.0819,0.0042,0.0346,Q4,2/25/2020,BMO,2/25/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000025/0001053507-20-000025-index.htm,REIT,True
AMTB,Amerant Bancorp Inc. - Class A,509096032,False,Q1,False,True,4/28/2020,BMO,4/28/2020 9:30:00 AM,,0.0381,,Q4,1/30/2020,BMO,1/30/2020 9:30:00 AM,,Common,False
AMX,America Movil S.A.B. De C.V. American Depository Receipt Series L,36363468800,False,,True,False,4/28/2020,,,,0.0279,0.0398,,2/11/2020,,,,Common,True
AMZN,Amazon.com Inc.,1204052557824,True,Q1,False,True,4/30/2020,AMC,4/30/2020 5:30:00 PM,0.107,0.0738,0.0364,Q4,1/30/2020,AMC,1/30/2020 5:30:00 PM,,Common,True
AN,Autonation Inc.,2676179200,False,,True,False,4/30/2020,,,,0.0631,0.0678,Q4,2/11/2020,BMO,2/11/2020 11:00:00 AM,,Common,True
ANAT,American National Insurance Company,1970831872,False,,True,False,4/30/2020,,,,-0.0315,0.0459,Q4,2/26/2020,AMC,,,Common,True
ANTM,Anthem Inc.,66672582656,True,Q1,False,True,4/29/2020,BMO,4/29/2020 8:30:00 AM,0.2028,-0.06,0.0424,Q4,1/29/2020,BMO,1/29/2020 8:30:00 AM,,Common,True
ANY,Sphere 3D Corp. - Common Shares,3307137,False,,True,False,3/31/2020,,,,0.3363,,Q3,11/14/2019,AMC,,,Common,False
APAM,Artisan Partners Asset Management Inc. Class A,1766712192,False,Q1,False,True,4/28/2020,BMO,4/29/2020 11:00:00 AM,0.1652,0.0263,0.0539,Q4,2/4/2020,AMC,2/5/2020 1:00:00 PM,https://www.sec.gov/Archives/edgar/data/1517302/000151730220000012/0001517302-20-000012-index.htm,Common,True
APRN,Blue Apron Hldgs,150582720,False,Q1,False,True,4/29/2020,BMO,4/29/2020 8:30:00 AM,0.5063,0.1176,0.1868,Q4,2/18/2020,BMO,2/19/2020 8:30:00 AM,,Common,True
APY,Apergy Common,557181184,False,Q1,False,True,4/27/2020,AMC,4/28/2020 1:00:00 AM,0.2919,-0.0533,0.0965,Q4,2/24/2020,AMC,2/25/2020 1:00:00 AM,,Common,True
AQMS,Aqua Metals Inc.,32406266,False,Q1,False,True,4/30/2020,AMC,4/30/2020 4:30:00 PM,0.2393,-0.3281,0.1383,Q4,3/11/2020,AMC,3/11/2020 4:30:00 PM,,Common,True
AR,Antero Resources,619222336,False,Q1,False,True,4/29/2020,AMC,4/30/2020 11:00:00 AM,0.3469,-0.0056,0.1753,Q4,2/12/2020,AMC,2/13/2020 11:00:00 AM,https://www.sec.gov/Archives/edgar/data/1433270/000110465920019312/0001104659-20-019312-index.htm,Common,True
ARAY,Accuray Incorporated,167363952,False,Q3,False,True,4/28/2020,AMC,4/28/2020 4:30:00 PM,0.2221,0.134,0.1518,Q2,1/28/2020,AMC,1/28/2020 4:30:00 PM,https://www.sec.gov/Archives/edgar/data/1138723/000156459020002275/0001564590-20-002275-index.htm,Common,True
ARD,Ardagh Group S.A. Common Shares,3075004416,False,,True,False,4/27/2020,,,,-0.0558,0.0205,Q4,2/20/2020,BMO,2/20/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/1689662/000155837020001061/0001558370-20-001061-index.htm,Common,True
ARE,Alexandria Real Estate Equities Inc.,19027681280,True,Q1,False,True,4/27/2020,AMC,4/28/2020 3:00:00 PM,0.0938,0.0181,0.0343,Q4,2/3/2020,AMC,2/4/2020 3:00:00 PM,,REIT,True
ARLP,Alliance Resource Partners LP - Common Units Representing Limited Partnership Interests,436278848,False,,True,False,4/30/2020,,,,-0.0715,0.1409,Q1,1/27/2020,BMO,1/27/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/1086600/000155837020000258/0001558370-20-000258-index.htm,MLP,True
ARNC,Arconic Common,1007845120,False,,True,False,4/30/2020,,,,0.0536,0.0699,Q4,1/27/2020,BMO,1/27/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/4281/000115752320000101/0001157523-20-000101-index.htm,Common,True
AROW,Arrow Financial,379755680,False,,True,False,4/24/2020,,,,-0.0028,0.045,Q4,1/28/2020,BMO,,https://www.sec.gov/Archives/edgar/data/717538/000071753820000006/0000717538-20-000006-index.htm,Common,True
ARR,Armour Residential REIT Inc.,494608768,False,,True,False,4/24/2020,,,,0.0168,0.0228,Q4,2/19/2020,AMC,2/20/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/1428205/000142820520000082/0001428205-20-000082-index.htm,REIT,True
ARW,Arrow Electronics Inc.,4236260864,False,Q1,False,True,4/30/2020,,4/30/2020 1:00:00 PM,0.1265,0.0143,0.0542,Q4,2/6/2020,BMO,2/6/2020 1:00:00 PM,https://www.sec.gov/Archives/edgar/data/7536/000173339120000002/0001733391-20-000002-index.htm,Common,True
ASB,Associated Banc-Corp,1854604544,False,Q1,False,True,4/23/2020,AMC,4/23/2020 5:00:00 PM,0.1354,-0.0221,0.0592,Q4,1/23/2020,AMC,1/23/2020 5:00:00 PM,,Common,True
ASGN,Asgn Incorporated,1981056000,False,Q1,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,0.1419,-0.0548,0.0759,Q4,2/12/2020,AMC,2/12/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/890564/000089056420000004/0000890564-20-000004-index.htm,Common,True
ASLN,Aslan Pharmaceuticals Limited - American Depositary Shares,61165512,False,,True,False,4/29/2020,,,,-0.1048,,Q4,3/18/2020,BMO,,,Common,False
ASPN,Aspen Aerogels Inc.,153982160,False,Q1,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,,-0.0763,,Q4,2/20/2020,AMC,2/20/2020 5:00:00 PM,,Common,False
ASPS,Altisource Portfolio Solutions S.A.,98458936,False,,True,False,4/27/2020,,,,-0.2769,0.1296,Q4,3/5/2020,AMC,3/5/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1462418/000146241820000015/0001462418-20-000015-index.htm,Common,True
ASR,Southeast Airport Group,2982000128,False,,True,False,4/24/2020,,,,-0.0601,0.0677,,2/24/2020,,,,Common,True
ASX,Ase Technology Holding Co. Ltd. American Depositary Shares (Each Representing Two Common Shares),9009727488,False,,True,False,4/29/2020,,,,-0.0276,,Q4,2/7/2020,BMO,,,Common,False
ATLC,Atlanticus Holdings,173043872,False,,True,False,4/29/2020,,,,-0.0329,0.0459,,11/14/2019,,,,Common,True
ATLO,Ames National,167048576,False,,True,False,4/14/2020,,,,-0.0026,,,1/24/2020,,,,Common,False
ATNI,Atn International Inc.,1065320064,False,Q1,False,True,4/29/2020,AMC,4/30/2020 11:30:00 AM,0.1711,0.0158,0.0575,Q4,2/19/2020,AMC,2/20/2020 9:30:00 AM,,Common,True
ATOM,Atomera Incorporated,80473312,False,Q1,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,,-0.072,,Q4,2/12/2020,AMC,2/12/2020 5:00:00 PM,,Common,False
ATR,Aptargroup Inc.,6935215616,False,Q1,False,True,4/30/2020,AMC,5/1/2020 9:00:00 AM,0.1017,-0.0257,0.0378,Q4,2/20/2020,AMC,2/21/2020 9:00:00 AM,https://www.sec.gov/Archives/edgar/data/896622/000115752320000247/0001157523-20-000247-index.htm,Common,True
ATRC,Atricure Inc.,1602771328,False,Q1,False,True,4/29/2020,,4/29/2020 4:30:00 PM,0.1536,-0.0229,0.0581,Q4,2/18/2020,AMC,2/18/2020 4:30:00 PM,https://www.sec.gov/Archives/edgar/data/1323885/000132388520000006/0001323885-20-000006-index.htm,Common,True
ATUS,Altice USA Inc. Class A,16119578624,False,Q1,False,True,4/30/2020,AMC,4/30/2020 4:30:00 PM,0.1404,-0.0535,0.0835,Q4,2/12/2020,AMC,2/12/2020 4:30:00 PM,,Common,True
AUB,Atlantic Union Bankshares,1645739520,False,Q1,False,True,4/28/2020,BMO,4/28/2020 9:00:00 AM,0.1489,-0.0326,0.0681,Q4,1/21/2020,BMO,1/21/2020 9:00:00 AM,,Common,True
AUBN,Auburn National Bancorporation Inc.,149635648,False,,True,False,4/24/2020,,,,0.001,,Q4,1/29/2020,AMC,,,Common,False
AUDC,Audiocodes Ltd. -,662347840,False,Q1,False,True,4/28/2020,BMO,4/28/2020 8:30:00 AM,0.1602,-0.0858,0.1413,Q4,1/28/2020,BMO,1/28/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/1086434/000110465920007332/0001104659-20-007332-index.htm,Common,True
AUY,Yamana Gold Inc. Ordinary Shares (Canada),4662982144,False,Q1,False,True,4/30/2020,BMO,4/30/2020 8:30:00 AM,0.1437,0.025,0.0488,Q4,2/13/2020,AMC,2/14/2020 9:00:00 AM,https://www.sec.gov/Archives/edgar/data/1264089/000126408920000005/0001264089-20-000005-index.htm,Common,True
AVT,Avnet Inc.,2732031744,False,Q3,False,True,4/27/2020,AMC,4/27/2020 4:30:00 PM,0.1096,0.0192,0.0642,Q2,1/23/2020,AMC,1/23/2020 4:30:00 PM,https://www.sec.gov/Archives/edgar/data/8858/000000885820000007/0000008858-20-000007-index.htm,Common,True
AVTR,Avantor Inc.,8077134336,False,Q1,False,True,4/29/2020,AMC,4/29/2020 5:00:00 PM,0.1731,-0.0894,0.0698,Q4,2/7/2020,BMO,2/7/2020 8:30:00 AM,,Common,True
AVX,Avx,3665240064,False,,True,False,4/24/2020,,,,0.0024,0.0485,,1/23/2020,BMO,,https://www.sec.gov/Archives/edgar/data/859163/000143774920001037/0001437749-20-001037-index.htm,Common,False
AVY,Avery Dennison,8871023616,True,Q1,False,True,4/29/2020,BMO,4/29/2020 1:00:00 PM,0.112,0.0543,0.0631,Q4,1/29/2020,BMO,,https://www.sec.gov/Archives/edgar/data/8818/000110465920007819/0001104659-20-007819-index.htm,Common,True
AWI,Armstrong World Industries,3673930496,False,Q1,False,True,4/27/2020,BMO,4/27/2020 11:00:00 AM,0.1126,-0.0027,0.0753,Q4,2/24/2020,BMO,2/24/2020 11:00:00 AM,,Common,True
AWRE,Aware Inc.,55956936,False,,True,False,4/30/2020,,,,0.0074,0.0515,Q4,2/11/2020,AMC,,https://www.sec.gov/Archives/edgar/data/1015739/000110465920016258/0001104659-20-016258-index.htm,Common,True
AX,Axos Financial Inc.,1057656768,False,Q3,False,True,4/29/2020,AMC,4/29/2020 5:00:00 PM,0.1642,0.0526,0.0816,Q2,1/29/2020,AMC,1/29/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1299709/000129970920000013/0001299709-20-000013-index.htm,Common,True
AXE,Anixter International Inc.,3069995520,False,,True,False,4/24/2020,,,,0.0025,0.0197,Q4,2/4/2020,BMO,,,Common,True
AXP,American Express Company,67387211776,True,Q1,False,True,4/24/2020,BMO,4/24/2020 8:30:00 AM,0.0552,0.0285,0.0245,Q4,1/24/2020,BMO,1/24/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/4962/000000496220000013/0000004962-20-000013-index.htm,Common,True
AZN,Astrazeneca PLC,132587216896,False,Q1,False,True,4/29/2020,,,0.0551,0.0104,0.034,Q4,2/26/2020,BMO,2/26/2020 8:00:00 AM,,Common,True
AZRX,Azurrx Biopharma Inc.,16278901,False,,True,False,4/20/2020,,,,0.2698,,,11/14/2019,,,,Common,False
AZZ,Azz Inc.,726580096,False,Q4,False,True,4/29/2020,BMO,4/29/2020 11:00:00 AM,0.1511,0.0402,0.0762,Q3,1/9/2020,BMO,1/9/2020 11:00:00 AM,,Common,True
B,Barnes Group Inc.,1945257344,False,Q1,False,True,4/24/2020,BMO,4/24/2020 8:30:00 AM,0.1636,-0.0018,0.0485,Q4,2/21/2020,BMO,2/21/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/9984/000000998420000026/0000009984-20-000026-index.htm,Common,True
BA,Boeing Company,77118406656,True,Q1,False,True,4/29/2020,BMO,4/29/2020 10:30:00 AM,0.1796,0.0172,0.0401,Q4,1/29/2020,BMO,1/29/2020 10:30:00 AM,https://www.sec.gov/Archives/edgar/data/12927/000119312520017662/0001193125-20-017662-index.htm,Common,True
BANC,Banc Of California Inc.,446967008,False,Q1,False,True,4/29/2020,BMO,4/29/2020 1:00:00 PM,0.1973,0.0138,0.0714,Q4,1/23/2020,BMO,1/23/2020 1:00:00 PM,https://www.sec.gov/Archives/edgar/data/1169770/000116977020000002/0001169770-20-000002-index.htm,Common,True
BAND,Bandwidth Inc. - Class A,1884795520,False,Q1,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,0.1528,0.0087,0.0918,Q4,2/20/2020,AMC,2/20/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1514416/000151441620000024/0001514416-20-000024-index.htm,Common,True
BANR,Banner,1123230080,False,Q1,False,True,4/27/2020,AMC,4/28/2020 11:00:00 AM,0.1321,-0.0244,0.055,Q4,1/23/2020,AMC,1/24/2020 11:00:00 AM,,Common,True
BAX,Baxter International Inc.,46140530688,True,Q1,False,True,4/30/2020,BMO,4/30/2020 8:30:00 AM,0.073,0.1249,0.0735,Q4,3/17/2020,BMO,3/17/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/10456/000119312520075467/0001193125-20-075467-index.htm,Common,True
BBD,Bank Bradesco,32072974336,False,Q1,False,True,4/30/2020,,,0.1646,0.0142,0.0582,Q4,2/5/2020,BMO,,,Common,True
BBDO,Bank Bradesco,30129158144,False,,True,False,4/27/2020,,,,0.0366,,,2/5/2020,BMO,,,Common,False
BBVA,Bbva,19034071040,False,,True,False,4/28/2020,,,,-0.0135,0.0567,Q4,1/31/2020,BMO,,,Common,True
BC,Brunswick,3009182976,False,Q1,False,True,4/30/2020,BMO,4/30/2020 11:00:00 AM,0.2023,-0.0002,0.0699,Q4,1/30/2020,BMO,1/30/2020 11:00:00 AM,,Common,True
BCBP,BCB Bancorp Inc. (Nj),166641776,False,,True,False,4/20/2020,,,,-0.0029,0.0501,,1/27/2020,,,,Common,True
BCML,Baycom,139030512,False,,True,False,4/29/2020,,,,0.0036,,Q4,1/28/2020,BMO,,,Common,False
BCO,Brink's,2464802304,False,,True,False,4/24/2020,,,,-0.0841,0.0638,Q4,2/6/2020,BMO,2/6/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/78890/000007889020000002/0000078890-20-000002-index.htm,Common,True
BCOV,Brightcove Inc.,338656224,False,Q1,False,True,4/29/2020,AMC,4/29/2020 5:00:00 PM,0.1539,-0.0717,0.0622,Q4,2/19/2020,AMC,2/19/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1313275/000119312520041915/0001193125-20-041915-index.htm,Common,True
BCS,Barclays PLC,19152037888,False,Q1,False,True,4/29/2020,,,0.138,-0.0065,0.0471,Q4,2/13/2020,BMO,,,Common,True
BCTF,Bancorp 34 Inc.,30038042,False,,True,False,4/27/2020,,,,0,,,10/25/2019,,,,Common,False
BDC,Belden,1387818624,False,Q1,False,True,4/29/2020,BMO,4/29/2020 8:30:00 AM,0.1908,0.0571,0.1031,Q4,2/4/2020,BMO,2/4/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/913142/000091314220000004/0000913142-20-000004-index.htm,Common,True
BDGE,Bridge Bancorp Inc.,360938720,False,Q1,False,True,4/29/2020,AMC,4/30/2020 10:00:00 AM,0.1641,0.0121,0.0538,Q4,1/29/2020,AMC,1/30/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/846617/000084661720000008/0000846617-20-000008-index.htm,Common,True
BEAT,Biotelemetry Inc.,1462619136,False,,True,False,4/24/2020,,,,-0.0624,0.1197,Q4,2/26/2020,AMC,2/26/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/1574774/000157477420000029/0001574774-20-000029-index.htm,Common,True
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares Each  Representing One Class A Ordinary Share,736554432,False,,False,True,4/28/2020,AMC,4/29/2020 8:00:00 AM,,0.0021,,,1/16/2020,AMC,1/17/2020 8:00:00 AM,,Common,False
